YORF	NAME	GWEIGHT	Cell-cycle Alpha-Factor 1	Cell-cycle Alpha-Factor 2	Cell-cycle Alpha-Factor 3	Cell-cycle Alpha-Factor 4	Cell-cycle Alpha-Factor 5	Cell-cycle Alpha-Factor 6	Cell-cycle Alpha-Factor 7	Cell-cycle Alpha-Factor 8	Cell-cycle Alpha-Factor 9	Cell-cycle Alpha-Factor 10	Cell-cycle Alpha-Factor 11	Cell-cycle Alpha-Factor 12	Cell-cycle Alpha-Factor 13	Cell-cycle Alpha-Factor 14	Cell-cycle Alpha-Factor 15	Cell-cycle Alpha-Factor 16	Cell-cycle Alpha-Factor 17	Cell-cycle Alpha-Factor 18	Cell-cycle cdc15 10m	Cell-cycle cdc15 30m	Cell-cycle cdc15 50m	Cell-cycle cdc15 70m	Cell-cycle cdc15 80m	Cell-cycle cdc15 90m	Cell-cycle cdc15 100m	Cell-cycle cdc15 110m	Cell-cycle cdc15 120m	Cell-cycle cdc15 120m	Cell-cycle cdc15 130m	Cell-cycle cdc15 140m	Cell-cycle cdc15 150m	Cell-cycle cdc15 160m	Cell-cycle cdc15 160m	Cell-cycle cdc15 170m	Cell-cycle cdc15 180m	Cell-cycle cdc15 190m	Cell-cycle cdc15 200m	Cell-cycle cdc15 210m	Cell-cycle cdc15 220m	Cell-cycle cdc15 240m	Cell-cycle cdc15 250m	Cell-cycle cdc15 270m	Cell-cycle cdc15 290m	Cell-cycle Elutriation 0.0hrs	Cell-cycle Elutriation 0.5hrs	Cell-cycle Elutriation 1.0hrs	Cell-cycle Elutriation 1.5hrs	Cell-cycle Elutriation 2.0hrs	Cell-cycle Elutriation 2.5hrs	Cell-cycle Elutriation 3.0hrs	Cell-cycle Elutriation 3.5hrs	Cell-cycle Elutriation 4.0hrs	Cell-cycle Elutriation 4.5hrs	Cell-cycle Elutriation 5.0hrs	Cell-cycle Elutriation 5.5hrs	Cell-cycle Elutriation 6.0hrs	Cell-cycle Elutriation 6.5hrs	Cell-cycle CLN3 induction 30m	Cell-cycle CLN3 induction 40m	Cell-cycle CLB5 induction 40m	Sporulation 0	Sporulation 30m	Sporulation 2h	Sporulation 5h	Sporulation 7h	Sporulation 9h	Sporulation 11h	Sporulation 2h (v. 5h)	Sporulation 7h (v. 5h)	Sporulation 11h (v. 5h)	Sporulation ndt80- Early	Sporulation ndt80- Middle	Sporulation ndt80over	Diauxic Shift 19.0g/L	Diauxic Shift 18.7g/L	Diauxic Shift 17.6g/L	Diauxic Shift 14.0g/L	Diauxic Shift 7.5g/L	Diauxic Shift 0.2g/L	Diauxic Shift 0g/L
YHR098C	YHR098C   SFB3      unknown                       unknown; binds Sed3p and Sec23p              S0001140	1	-0.01	-0.34	-0.43	-0.27	 0.01	 0.14	 0.18	-0.32	-0.22	-0.45	-0.40	-0.29	-0.07	-0.34	 0.16	-0.04	-0.42	-0.40	-0.69	-0.64	-0.45	 0.14	-0.54	-0.09	-0.49	-0.49	-0.86	-1.60	-0.47	-0.62	-0.54	-0.51	-0.06	-0.06	-0.09	-0.34	-0.62	-0.56	-1.29	-0.47	-0.47	-0.58	-0.51	-0.79	-0.60	-0.60	-0.29	-0.09	-0.25	-0.07	-0.04	 0.25	-2.32	-0.36	 0.16	-0.36	-0.38	 0.76	 1.29	-0.40	-0.20	 0.06	-0.22	-0.43	-0.97	-0.86	-0.89	 0.08	-0.76	-0.74	 0.28	-0.47	-1.25	 0.04	 0.11	 0.15	-0.17	-0.30	-1.03	-1.18
YPR082C	YPR082C   DIB1      unknown                       unknown; similar to S. pombe dim1+           S0006286	1	-0.17	-0.51	-0.07	-0.22	 0.07	 0.26	 0.18	-0.36	-0.03	-0.27	-0.15	-0.54	-0.25	-0.38	-0.04	-0.29	 0.15	 0.03	 0.01	-0.01	 0.15	 0.10	 0.49	 0.28	 0.42	 0.39	 0.25	 0.00	 0.07	-0.14	 0.10	-0.32	-0.04	 0.21	 0.28	 0.12	-0.15	 0.29	-0.29	-0.07	 0.19	-0.07	 0.26	 0.29	-0.04	 0.37	-0.51	-0.45	-0.36	-0.36	-0.30	-0.29	-0.34	-0.54	-0.27	-0.29	-0.38	-0.51	 0.28	-0.74	-0.47	-0.56	-0.12	-0.18	-0.23	-0.34	-0.42	-0.17	-0.25	-0.64	-0.38	-0.97	-0.34	-0.03	 0.07	 0.38	-0.09	 0.54	 0.43	 0.18
YPR155C	YPR155C   NCA2      ATP synthesis                 regulates Atp6p and Atp8p synthesis          S0006359	1	-0.03	-0.40	 0.23	-0.03	 0.03	 0.16	 0.07	-0.30	-0.01	-0.14	-0.23	-0.62	-0.17	-0.34	-0.04	-0.30	 0.07		-0.64	-0.36	 0.33	 0.64	 0.31	 0.56	 0.03	 0.39	-0.01	-0.15	 0.26	-0.25	 0.32	-0.15	-0.15	 0.38	 0.52	 0.31	 0.40	 0.59	-0.03	 0.58	 0.51	 0.41	 0.59	 0.55	-0.38	-0.58	-0.92	-0.69	-0.74	-0.79	-0.23	-0.23	-0.71	-0.79	-0.18	-0.43	-0.56	-0.22	 0.10	 0.00	-0.47	-0.18	 0.34	 0.01	 0.03	 0.43	 0.72	 0.06	-0.30	-0.09	 0.06	 0.77	-1.00	-0.22	-0.23	-0.17	-0.09	-0.03	 1.01	 0.41
YCL019W	YCL019W             unknown                       unknown                                      S0000524	1	 1.64	 1.16	 1.42	 1.16	 1.16	 1.23	 1.10	 1.08	 1.01	 1.07	 0.93	 1.13	 0.76		 0.96	 1.22	 0.81	 0.82	 0.41	 0.25	 0.11	 0.26	-0.12	 0.11	-0.22	 0.10	-0.49	 0.03	-0.06	-0.71	-0.40	-0.81	-0.54	-0.38	-0.79	-0.43	-0.86	-0.62	-0.79	-1.00	-0.34	-0.49	-0.56	-0.01	-0.27	-0.18	-0.10	-0.03	-0.40	-0.36	-0.71	-0.29	-0.40	-0.34	-0.06	-0.47	-0.12	 0.16	-0.45	 1.41	 0.01	-0.23	-0.18	-0.84	-0.89	-1.18	-1.69	 0.80	-0.15	-0.97	 0.03	-0.54	-0.03	 0.06	 0.10	-0.10	-0.58	-0.10	-0.36	-0.71
YOR249C	YOR249C   APC5      mitosis                       anaphase-promoting complex subunit           S0005775	1	-0.23	-0.45	-0.04	 0.04	-0.07	-0.12	-0.17	-0.23	-0.43		-0.40	-0.25	-0.22	-0.36	-0.03	-0.09	-0.10	-0.15	 0.15	-0.12	-0.36	 0.20	-0.18	 0.16	-0.07	 0.04	-0.36	-0.64	-0.03	-0.49	-0.22	-0.36	-0.06	-0.29	-0.15	 0.12	 0.20	-0.09	 0.38	-0.25	-0.30	-0.42	-0.49	 0.40	-0.79	-0.18	-0.01	 0.18	-0.07	-0.01	-0.34	-0.51	-0.58	-0.14	-0.58	-0.62	-0.45	 0.75		 0.00	-0.29	 0.19	 0.12	 1.56	 3.47	 3.83	 3.82	-1.89	 1.88	 2.00	 0.21	 0.71	 1.78	-0.04	-0.14	 0.15	-0.40	-0.25	 0.29	-0.27
YIL045W	YIL045W   PIG2      glucose repression            (putative) Glc7p regulatory subunit          S0001307	1	-0.56	-0.14	-0.27	-0.69	 0.73	-0.25	-0.58	-0.30	-0.38	 0.11	-0.27	-0.15	-0.17	-0.32	-0.62	-0.23	-0.54	-0.30	-0.29	 0.07	 0.06	-0.06	 0.11	-0.01	-0.04	-0.01	 0.36	 0.55	 0.10	 1.26	 0.12	 0.32	 0.23	-0.14	 0.03	-0.18	 0.12	 0.08	 0.19	 0.60	 0.45	 0.29	 0.42	 2.04	 0.39	-0.25	-0.62	-0.76	-0.42	-0.29	-0.34	-0.38	-0.49	-0.38	-0.29	-0.25	-0.40	 0.50	 0.55	-0.49	-0.04	 0.15	 0.20	 0.55	 2.26	 2.24	 2.70	-0.25	 1.33	 1.62	 1.10	-0.01	 0.92	-0.03	-0.17	-0.10	-0.25	-0.25	 0.63	 0.19
YIL118W	YIL118W   RHO3      cytoskeleton                  GTP-binding protein, rho family              S0001380	1	 0.04	 0.01	-0.81		-0.30	 0.49	 0.08	 0.19	-0.03	-0.32	-0.34	-0.22	-0.03	-0.06	 0.06	 0.07	 0.10	 0.03																										-0.18	-0.20	-0.12	 0.16	-0.17	 0.10	-0.14	-0.01	-0.15	 0.04	 0.23	-0.04	 0.07	 0.06	-0.54	 0.51	 0.04	-0.20	 0.77	 0.45	 0.52	 0.62	 0.48	 0.65	-0.14	-0.14	-0.49	-0.04	 0.14	-0.36	 0.07	-0.17		-0.10	-0.23	-0.51	-1.40
YBR282W	YBR282W   MRPL27    protein synthesis             ribosomal protein, mitochondrial L27         S0000486	1	-0.25	 0.30	 0.12	 0.32	-0.22	 0.28	-0.14	 0.23	 0.49	-0.04	 0.03	 0.04	 0.01	-0.10	-0.34	 0.30	 0.10	 0.21	 0.00	 0.00	 0.08	-0.10	 0.26	 0.20	 0.14	 0.54	 0.00	 1.51	-0.07	 0.43	 0.70	 0.23	 0.15	 0.65	-0.07	 0.86	-0.18	 0.76	 0.04	 0.46	 1.34	 0.99	 1.58	 0.29	-0.04	 0.26	 0.21	 0.10	 0.11	 0.26	 0.19	-0.23	 0.00	 0.32	-0.04	-0.09	 0.07	-0.40		 0.10	 0.16	 0.00	 0.08	 0.63	 1.27	 1.43	 1.34	-0.47	 0.75	 0.31	 0.07	 0.50	 0.81	-0.12	 0.25	 0.28	 0.20	 0.07	 0.95	 0.06
YER009W	YER009W   NTF2      nuclear protein targeting     nuclear transport factor                     S0000811	1	 0.36	 0.40	 0.28	 0.20	 0.45	 0.20	 0.38	 0.24	 0.19	-0.09	 0.08	-0.20	 0.37	-0.29	 0.30	-0.23	 0.50	-0.29	-0.07	 0.04	 0.30	 0.49	 0.36	 0.57	 0.62	 0.40	 0.66	-0.67	 0.37	 0.30	 0.38	 0.38	 1.01	 0.03	 0.19	 0.14	-0.25	 0.40	 0.37	 0.26	-0.04	-0.20	 0.06	-0.22	-0.20	-0.04	-0.20	 0.34	 0.36	 0.33	 0.29	 0.00	-0.25	 0.40	 0.15	-0.18	 0.07	-0.03		-0.14	-0.06	-0.62	 0.21		 1.14	 0.75	 0.46	-0.34	 0.31	-0.40	 0.18	 0.32	 0.55	 0.18	 0.07	 0.37	 0.04	 0.28	-0.40	-1.43
YOL071W	YOL071W             unknown                       unknown                                      S0005432	1	-0.01	-0.01	 0.23	-0.07	-0.10	-0.22	-0.07	-0.09	 0.08	-0.32	 0.06	-0.40	-0.34	-0.47	-0.30	-0.07	-0.43	-0.49	-0.06	-0.20	-0.27	-0.64	-0.40	 0.12	-0.54	 0.41	-0.29	 0.34	 0.41	-0.04	 0.71	-0.25	 0.08	 0.58	 0.43	 0.06	 0.18	 0.16	 0.08	 0.41	 1.02	 0.76	 1.12	 0.24	-0.58	-0.14	-0.07	-0.40	-0.62	-0.49	-0.06	-0.15	-0.32	-0.07	 0.15	 0.11	 0.01	 0.16		 0.11	-0.09	-1.60	-0.76	-0.71	-1.00	-1.25	-1.25	-0.29	-0.34	-0.51	-1.36	-0.43	 0.18	-0.03	-0.06	 0.42	 0.31	 0.23	 1.78	 1.36
YOL144W	YOL144W   NOP8      ribosome biogenesis (putative)unknown; nucleolar protein                   S0005504	1	-0.40	-0.69	-1.06	-0.36	-0.56	-0.22	-0.14	-0.18	-0.20	-0.17	-0.67	-0.15	-0.29	-0.54	-0.54	-0.51	-0.25	-0.10	 0.66	 0.54	 0.28	-0.06	-0.49	-0.40	-0.34	-0.15	-0.29	 0.15	 0.00	-0.58	-0.23	-0.69	-0.89	 0.06	-0.15	 0.19	-1.32	-0.34	-0.25	-0.49	-0.10	-0.29	-0.15	-0.17	-0.10	 0.03	 0.44	 0.18	-0.04	-0.51	-0.32	-0.42	-0.32	 0.04	-0.42	-0.67	-0.32	-0.32	-0.04	-0.45	-0.20		-1.15	-0.36	-0.81	-0.20	-0.74	-0.56	-0.56	-0.56		-0.60	-0.97	-0.20	-0.42	 0.33	-0.09	 0.03	-0.12	-0.29
YNL092W	YNL092W             unknown                       unknown                                      S0005036	1	 0.01	 0.11	 0.38	 0.06	 0.30	 0.51	 0.14	 0.01	-0.27	-0.27	-0.54	-0.30	-0.22	-0.42	-0.29	-0.38	 0.01	-0.30		-0.04	 0.11	-0.42		-0.54		-0.42					 0.62			-0.40	 0.61	-1.47	 0.55		 0.46		-0.94	 0.21	-0.38	 0.40	-0.17	-0.12	-0.47	-0.12	-0.40	-0.27	-0.18	-0.15	-0.38	-0.22	-0.29	-0.38	-0.25	 0.24	 0.37	-0.47	-0.49	-0.56	-0.49	 0.03	 0.46	 0.34	 0.43	-0.81	 0.28	 0.14	-0.20	-0.47	 1.34	 0.14	 0.26	 0.44	-0.23	-0.14	 0.00	-0.40
YNL165W	YNL165W             unknown                       unknown                                      S0005109	1	-0.10	-0.30	 0.31	 0.26	 0.26	-0.01	 0.10	-0.38	-0.43	-0.58	-0.27	-0.06	 0.23	-0.25	-0.01	-0.43	 0.03	-0.38	 0.00	 0.21	 0.87	 0.33	 0.03	-0.20	 0.04	-0.58	-0.47	-0.20	-0.12	 0.14	 0.43	 0.01	 0.15	 0.52	-0.43	 0.11	 0.72	-0.40	-0.49	-0.12	-0.12	 0.00	 0.18	-0.58	-0.17	-0.18	-0.06	 0.25	 0.42	 0.10	 0.28	-0.30	-0.18	-0.20	-0.29	-0.56	 0.03	 0.24	 0.80	-0.40	-0.51	 0.91	 0.36	 0.55	 0.07	-0.43	-0.40	-0.23	-0.81	-1.25	 0.96	 1.94	-0.40	-0.14	 0.04	-0.07	-0.67	-0.67	 0.26	-0.47
YNL238W	YNL238W   KEX2      secretion                     late Golgi endoproteinase                    S0005182	1	 0.00	-0.60	-0.54	-0.42	 0.30	 0.41	 0.44	-0.17	-0.15	-0.42	-0.36	-0.36	-0.01	-0.10	 0.20	 0.21	 0.08	 0.16		-0.04	 0.11	-0.42		-0.54		-0.42					 0.62			-0.40	 0.61	-1.47	 0.55		 0.46		-0.94	 0.21	-0.38	-0.18	-0.67	-0.71	-0.76	-0.29	 0.00	-0.03	 0.42	 0.42	 0.11	-0.10	 0.18	 0.07	-0.40	 0.49	 1.02	-0.49	-0.25	 0.15	 0.26	 0.38	 0.71	 0.82	 0.70	-0.43	-0.03	-0.06	 0.42	 0.10	-0.69	-0.01	 0.19	-0.27	-0.45	-0.43	-0.09	-1.36
YDR314C	YDR314C             unknown                       unknown                                      S0002722	1	-0.47	-0.12	-0.18	-0.29	-0.18	-0.29	-0.23	-0.17	 0.15	 0.15	 0.36	 0.10	-0.15	-0.15	-0.54	 0.12	-0.14	-0.23	-0.51	 0.00	-0.25	-0.67	-0.25	-0.47	 0.51	-0.12	-0.01	 0.58	-0.40	 0.37	 0.34	 0.45	-0.32	-0.29	 0.15	-0.25	-0.29	-0.40	 0.36	 0.53	-0.71	-0.29	-0.69	 0.58	-0.06	 0.10	 0.07	-0.25	-0.15	-0.07	 0.04	-0.01	-0.03	-0.27	-0.27	 0.18	 0.04	 0.30	 1.62	 0.04	-0.10	-0.40	-0.20	-0.25	-0.43	-0.62	-0.51	 0.15	-0.51	-1.22	 0.07	 0.44	-0.64	-0.86	-0.69	 0.34	-0.43	-0.64	-0.17	 0.39
YIL119C	YIL119C   RPI1      signaling, Ras pathway        negative regulator of ras-cAMP pathway       S0001381	1	-0.51	 0.19	-1.15	-1.56	-1.03	-1.22	-1.40	-0.56	-0.54	-0.40	-0.32	-0.38	-0.42	-0.45	-0.71	-0.49	-0.42	-0.29	 0.86	 0.78	-0.12	 0.50	 1.42	 0.77	 0.48	 0.82	 1.30	 0.93	 0.34	 0.61	 0.04	 0.56	 0.04	 0.30	 0.80	 0.52	 1.34	 0.72	 1.35	 1.41	 0.32	 0.30	 0.60	 0.37	 0.44	 0.21	 0.03	 0.30	-0.47	-0.47	-0.58	-0.69	-0.47	 0.00	-0.34	-0.71	-0.17	-0.04	 1.29	-0.14	-0.07	-0.22	-0.03	 0.38	-0.03	-0.27	-0.04	-0.67	-0.30	-0.38	-0.34	 0.52	-0.18	 0.00	 0.42	 0.66	 0.65	 0.32	 1.12	 0.73
YBR283C	YBR283C   SSH1      secretion                     ER protein translocation complex subunit     S0000487	1	-0.18	-0.15	-0.25	-0.25	-0.29	-0.17	-0.32	-0.15	 0.07	 0.16	 0.29	-0.25	-0.03	-0.22	-0.15	 0.03	-0.17	-0.12	-0.54	-0.43	-0.54	-0.30	 0.51	-0.58	 0.70	-0.22	 0.95	 0.14	-0.25	 0.26	-0.17	 0.41	 0.90	-0.38	 0.72	-0.10	 0.57	-0.10	 1.00	 0.55	-0.47	-0.60	-0.54	-0.32	 0.01	 0.26	-0.10	-0.12	 0.19	 0.23	 0.33	 0.01	 0.11	 0.30	-0.04	 0.04	 0.01	-0.79	-0.40	-0.17	 0.10	 0.15	-0.27	 0.37	 0.70	 0.38	-0.01	-0.86	 0.07	-0.81	 0.12	 1.51	-0.43	 0.24	 0.10	 0.68	-0.04	-0.38	-0.47	-0.71
YOR176W	YOR176W   HEM15     heme biosynthesis             ferrochelatase (protoheme ferrolyase)        S0005702	1	-0.38	 0.16	-0.03	 0.44	 0.16	 0.25	-0.22	-0.27	-0.67	-0.30	-0.67	-0.27	 0.01	-0.20	-0.27	-0.58	-0.29	-0.49	-0.69	-0.40	-0.18	-0.18	-0.18	-0.49	-1.47	-0.94	-1.06	-0.54	-0.42	-0.14	 0.70	 0.23	 0.68	 0.10	 0.51	-0.25	-0.29	-0.47	 0.01	 0.24	-0.20	-0.04	-0.04	 0.64	-0.06	-0.09	-0.07	-0.01	 0.00	 0.14	 0.19	 0.12	 0.24	 0.21	 0.19	 0.34	 0.43	 0.00	 0.71	-0.64	-0.20	 0.32	 0.26	 0.60	 0.82	 0.48	-0.01	-0.49	-0.40	-1.12	 1.12	 0.85	 1.12	 0.01	 0.04	 0.90	 0.01	 0.01	 0.64	 0.03
YOL145C	YOL145C   CTR9      mitosis, chromosome segregatiounknown                                      S0005505	1	-0.17	 0.01	-0.47	-0.09	-0.25	-0.23	-0.06	-0.15	-0.04	-0.20	-0.07	-0.23	-0.12	-0.42	 0.03	-0.04	-0.10	-0.22	-0.09	-0.04	-0.67	 0.08	-0.30	-0.81	-0.04	 0.00	-0.15	-0.12	-0.38	-0.38	 1.37	-0.15	-0.45	-0.30	-0.18	-1.89	 0.11	-0.54	 0.50	 1.18	-1.25	-0.67	-0.64	-0.20	-0.14	-0.14	-0.09	-0.22	-0.06	-0.15	-0.30	 0.10	 0.20	-0.23	 0.11	 0.26	-0.10	 0.20	 1.11	-0.01	-0.14	-0.92	-0.47	-1.29	-1.74	-1.29	-0.36	 0.58	-0.67	 0.49	-1.32	-2.06	-0.92	 0.06	-0.09	 0.04	-0.14	-0.04	-0.14	-0.54
YKR036C	YKR036C   CAF4      catabolite repression         component of CCR4 transcriptional complex    S0001744	1	-0.17	-0.34	-0.36	-0.18	-0.40	 0.00	-0.22	-0.07	 0.03	-0.25	-0.30	-0.38	-0.15	-0.22	-0.18	 0.18	-0.32	-0.15	-0.17	 0.07	 0.16	-0.15	-0.45	-0.17	-0.36	 0.10	-0.58	-0.17	-0.40	-0.81	 0.07	-0.58	-1.03	 0.41	-0.40	-0.17	-0.36	-0.45	-0.58	-0.40	-0.32	-0.67	-0.29	-0.49	-0.23	 0.00	-0.20	-0.01	-0.10	-0.15	 0.06	 0.01	 0.00	-0.15	 0.03	-0.15	-0.14	 0.06	 0.64	-0.43	-0.20	 0.55	 0.16	 0.19	-0.27	-0.74	-0.34	-0.14	-0.58	-0.34	 0.31	 0.93	-0.56	 0.18	 0.21	 0.51	-0.06	-0.34	-0.12	-0.60
YNL166C	YNL166C             unknown                       unknown                                      S0005110	1	-0.42	-0.79	 0.33	 0.28	 0.60	 0.16	 0.40	-0.03	-0.25	-0.38	-0.51	-0.14	-0.09	-0.14	 0.37	-0.14	 0.08	-0.51		-0.04	 0.11	-0.42		-0.54		-0.42					 0.62			-0.40	 0.61	-1.47	 0.55		 0.46		-0.94	 0.21	-0.38	-1.06	-0.51	-0.30	 0.12	 0.44	 0.31	 0.46	 0.46	-0.10	-0.12	-0.22	-0.29	-1.00	-0.42	 0.57	 0.53	-0.10	-0.43	 0.72	 0.74	 0.79	 0.71	 0.40	 0.00	 0.26	-0.27	-0.38	 1.25	 0.53	-0.38	-0.03	 0.28	 0.50	-0.14	 0.03	 0.69	-0.54
YPR156C	YPR156C             unknown                       major facilitator superfamily                S0006360	1	-0.23	-1.00	-1.03	-2.18	-1.40	-1.03	 0.23	 0.25	 1.18	 0.57	 0.16	-0.42	-0.67	-1.15	-0.29	-0.20	 0.96	 0.43	 0.81	-0.69	 0.38	 0.71	 1.38	 0.90	 1.22	 0.77	 1.38	 0.43	 0.00	-0.40	 0.06	-0.20	-0.10	 0.14	 0.92	 0.46	 1.58	 0.71	 1.41	 0.83	-0.25	-0.43	-0.56	-0.51	-1.47	-1.25	-1.56	-1.29	-0.94	-0.74	 0.11	 0.61	 0.62	 0.29	 0.71	 0.40	 0.21	-0.32	 0.31	-0.89	-0.45	-0.74	-0.56	-0.32	 0.12	-0.06	-0.14	-0.45	 0.06	-0.23	-0.67	-1.15	-0.84	 0.03	 0.50	 1.65	 1.20	 1.23	 0.81	 1.62
YKL004W	YKL004W   AUR1      sphingolipid metabolism       phosphatidylinositol:ceramide phosphoinositolS0001487	1	-0.43	-1.40	-1.00	-1.15	-0.30	-0.42	 0.58	-0.34	 0.20	-0.34	-0.27	-0.67	-0.10	-0.56	 0.01	-0.18	 0.26	 0.07	 0.08	-0.27	-0.23	 0.50	 0.07	 0.71	-0.14	 0.33	-0.34	-0.74	-0.20	-0.84	-0.18	-0.54	 0.55	-0.09	 0.08	 0.30	-0.27	 0.30	 0.34	-0.32	-0.84	-0.86	-0.67	-1.43	-0.71	-0.76	-0.43	-0.22	-0.07	-0.17	-0.32	-0.14	 0.04	-0.15	-0.15	-0.69	-0.17	-0.51	-0.30	-0.86	-0.56	 0.06	-0.07	 0.24	 1.44	 0.76	 0.90	-0.64	 0.14	 0.07	 0.15	 0.20	-0.79	-0.01	-0.04	 0.15	-0.36	-0.54	-0.81	-0.84
YOR177C	YOR177C             unknown                       unknown                                      S0005703	1	 0.38	 0.10	 0.14	-0.06	 0.14	 0.00	 0.10	-0.01	-0.12	-0.04	-0.43	-0.12	 0.08	-0.03	-0.34	-0.20	-1.12	-0.34	 0.11	-0.09	-0.42	-0.29	 0.20	-1.25	 0.00	-0.60	-0.30	 0.44	-0.01	 0.18	 1.15	-0.27	-1.15	-0.79	 0.86	-0.79	-0.32	-0.92	 0.24	 0.78	-0.40	-0.32	-0.54	 0.00	-0.38	-0.51	-0.56	-0.14	-0.86	-0.25	-0.86	-0.94	-0.64	-0.29	-0.49	-0.92	-0.09	 0.10	 0.48	-0.17	-0.30	 2.03	 1.67	 2.35	 2.96	 2.80	 2.41	-0.81	 0.76	 0.14	 2.84	 2.41	 4.14	-0.38	-0.40	 0.26	 0.18	-0.60	 0.83	 1.03
YDR241W	YDR241W             unknown                       unknown                                      S0002649	1																			-0.62	 0.00	-0.18	 0.32	 0.29	-0.03	 0.51	 0.62	 0.28	 0.18	-0.30	 0.46	 0.58	 0.42	-0.74	 0.39	 0.53	-1.18	 0.44	-0.18	 0.61	 0.99	-1.12	 0.58	-0.45															 0.23	 1.43																					
YJL025W	YJL025W   RRN7      transcription                 component of rDNA transcription factor       S0003562	1	-0.20	-0.62	-0.22	-0.47	 0.00	-0.15	 0.16	-0.30	-0.06	-0.01	-0.20	-0.23	 0.01	-0.29	-0.23	-0.32	-0.12	-0.32	 0.52	 0.37	 0.33	 0.65	-0.12	 0.51	-0.22	 0.41	 0.11	-0.79	 0.29	-0.15	 0.42	-0.47	-0.38	 0.14	-0.07	 0.34	-0.10	 0.30	-0.23	-0.74	-0.30	-0.38	-0.27	-0.47	-0.15	-0.12	-0.14	 0.03	-0.12	-0.17	-0.04	 0.08	 0.04	-0.30	-0.04	 0.04	 0.08	 0.04	 0.52	-0.40	-0.32	 0.28	-0.01	 0.14	 0.11	 0.08	-0.34	 0.06	-0.18	-0.43	-0.10	 0.52	-0.94	-0.01	 0.06	-0.12	-0.47	-0.42	-0.30	
YIL046W	YIL046W   MET30     sulfur amino acid metbolism   F-box transcription factor                   S0001308	1	-0.10	 0.24	-0.14	-0.14	-0.22	 0.10	 0.10	-0.12	 0.11	-0.09	 0.21	 0.04	 0.00	-0.18	-0.10	 0.28	-0.22	 0.03	 0.60	 0.51	 0.43	 0.30	-0.22	 0.24	-0.18	 0.39	-0.14	 0.41	 0.54	-0.09	 0.50	 0.01	-0.06	 0.32	 0.06	 0.36	 0.32	 0.15	 0.33	 0.07	 0.57	 0.01	 0.15	-0.62	-0.17	 0.15	 0.42	 0.50	 0.32	 0.10	 0.29	 0.14	-0.04	 0.03	-0.04	 0.08	-0.04	 0.11	 0.21	-0.09	-0.14	 1.15	-0.25	-0.69	-0.79	-0.76	-0.14	 0.57	 0.25	 0.10	 0.34	-0.17	 0.18	-0.25	-0.22	-0.17	-0.29	-0.84	-0.06	 0.12
YPL051W	YPL051W   ARL3      unknown                       unknown; Similar to ADP-ribosylation factor  S0005972	1	 0.04	-0.38	-0.12	-0.10	 0.23	 0.06	 0.21	 0.12	-0.17	-0.25	-0.32	-0.38	-0.17	-0.51	-0.25	-0.22	-0.18	-0.12	 0.40	 0.45	 0.25	-0.04	-0.30	-0.04	-0.07	 0.04	-0.42	 0.10	 0.11	-0.45	 0.03	-0.18	-0.67	-0.04	-0.17	-0.56	-2.18	 0.24	 0.30	 0.59	-0.14	-0.15	-0.04	-0.07	-0.10	-0.67	 0.00	 0.07	-0.27	-0.17	-0.25	-0.14	-0.30	-0.17	-0.49	-0.49	-0.47	 0.46	 1.41	-0.51	-0.45	 0.28	 0.07	 0.11	-0.25	-0.62	-0.47	-0.17	-0.62	-1.22	 0.38	 0.93	-0.51	-0.22	-0.14		-0.38	-0.10	 0.31	-0.49
YPL124W	YPL124W   NIP29     nuclear protein targeting     spindle pole body associated protein         S0006045	1	-0.69	-0.43	 0.39	 0.11	 0.06	-0.15	-0.06	-0.42	-0.56	-0.36	-0.62	-0.06	-0.04	-0.30	-0.40	-0.25	-0.60	 0.32	-0.12	 0.57	 0.20	 0.32	-0.42	-0.18	-0.30	-0.42	-1.15	-1.03	 0.06	-0.04	 0.14	-0.01	-0.74	-0.20	 0.14	-0.12	 0.32	-0.89	-0.45	 0.18	 0.11	-0.10	-0.04	-0.06	-0.79	-0.45	-0.38	 0.06	 0.08	-0.09	-0.20	-0.23	-0.56	-0.07	-0.51	-0.60	-0.43	 1.21	 1.40	 0.01	-0.38	 0.62	 1.22	 1.77	 2.75	 2.51	 1.94	-0.79	 0.61	-0.12	 1.64	 1.99	 0.86	-0.29	-0.15	 0.03	-0.15	-0.27	 0.42	-0.17
YGL088W	YGL088W             unknown                       unknown; similar to Cyanophora paradoxa ribosS0003056	1	-0.18	 0.01	 0.04	-0.09	-0.20	 0.25	-0.34	 0.01	-0.22	 0.12	-0.40	-0.04	-0.27		-0.60	 0.01	-0.18	-0.04	-1.06	-0.38	-0.84	-0.71	-0.14	-0.64	 0.55	-0.81	 0.23	-0.18	-0.67	 0.14		 0.10	-0.47	-0.79	 0.71	-0.51	 0.36	-0.60	 0.15	 0.70	-1.25	-0.89	-1.12	-0.03	-0.43	 0.55	 0.24	-0.15	-0.20	 0.12	-0.58	-0.27	-0.30	-0.42	-0.74	-0.42	-0.49	-0.36	 0.77	-0.47		-0.74	-0.23	-0.54	-0.12	-0.38	-0.17	 0.11	-0.10	-0.14	 0.20	-0.27	-0.01	-0.51	-1.47	-0.42	-0.36	-0.58	 0.03	 0.42
